"sp_ticker","type","date","value","percentage"
FITB,Forward Dividend & Yield,"2023-02-15","1.32 (3.55%)","3.55"
PEG,Forward Dividend & Yield,"2023-02-15","2.16 (3.53%)","3.53"
PKG,Forward Dividend & Yield,"2023-02-15","5.00 (3.52%)","3.52"
AMGN,Forward Dividend & Yield,"2023-02-15","8.52 (3.51%)","3.51"
CVX,Forward Dividend & Yield,"2023-02-15","6.04 (3.51%)","3.51"
K,Forward Dividend & Yield,"2023-02-15","2.36 (3.51%)","3.51"
ED,Forward Dividend & Yield,"2023-02-15","3.24 (3.49%)","3.49"
GILD,Forward Dividend & Yield,"2023-02-15","3.00 (3.46%)","3.46"
UPS,Forward Dividend & Yield,"2023-02-15","6.48 (3.46%)","3.46"
HPQ,Forward Dividend & Yield,"2023-02-15","1.05 (3.45%)","3.45"
EXC,Forward Dividend & Yield,"2023-02-15","1.44 (3.43%)","3.43"
IFF,Forward Dividend & Yield,"2023-02-15","3.24 (3.42%)","3.42"
LNT,Forward Dividend & Yield,"2023-02-15","1.81 (3.40%)","3.40"
ES,Forward Dividend & Yield,"2023-02-15","2.70 (3.36%)","3.36"
RF,Forward Dividend & Yield,"2023-02-15","0.80 (3.35%)","3.35"
WEC,Forward Dividend & Yield,"2023-02-15","3.12 (3.35%)","3.35"
DTE,Forward Dividend & Yield,"2023-02-15","3.81 (3.34%)","3.34"
IPG,Forward Dividend & Yield,"2023-02-15","1.24 (3.34%)","3.34"
WRK,Forward Dividend & Yield,"2023-02-15","1.10 (3.33%)","3.33"
DRI,Forward Dividend & Yield,"2023-02-15","4.84 (3.31%)","3.31"
MAA,Forward Dividend & Yield,"2023-02-15","5.60 (3.27%)","3.27"
MDT,Forward Dividend & Yield,"2023-02-15","2.72 (3.25%)","3.25"
WELL,Forward Dividend & Yield,"2023-02-15","2.44 (3.22%)","3.22"
CSCO,Forward Dividend & Yield,"2023-02-15","1.52 (3.18%)","3.18"
FIS,Forward Dividend & Yield,"2023-02-15","1.88 (3.15%)","3.15"
TSN,Forward Dividend & Yield,"2023-02-15","1.92 (3.15%)","3.15"
GLW,Forward Dividend & Yield,"2023-02-15","1.12 (3.14%)","3.14"
BMY,Forward Dividend & Yield,"2023-02-15","2.28 (3.12%)","3.12"
MS,Forward Dividend & Yield,"2023-02-15","3.10 (3.12%)","3.12"
PPL,Forward Dividend & Yield,"2023-02-15","0.90 (3.12%)","3.12"
CPT,Forward Dividend & Yield,"2023-02-15","3.82 (3.11%)","3.11"
AVGO,Forward Dividend & Yield,"2023-02-15","18.40 (3.10%)","3.10"
CLX,Forward Dividend & Yield,"2023-02-15","4.72 (3.09%)","3.09"
NTRS,Forward Dividend & Yield,"2023-02-15","3.00 (3.09%)","3.09"
OMC,Forward Dividend & Yield,"2023-02-15","2.80 (3.07%)","3.07"
ZION,Forward Dividend & Yield,"2023-02-15","1.64 (3.07%)","3.07"
XOM,Forward Dividend & Yield,"2023-02-15","3.64 (3.05%)","3.05"
